REGION,SEX,agebins,POPEST2018_CIV
Alabama,0,10-Jan,653962
Alabama,0,20-Nov,625853
Alabama,0,21-30,658094
Alabama,0,31-40,599174
Alabama,0,41-50,600401
Alabama,0,51-60,657037
Alabama,0,61-70,574512
Alabama,0,71+,505031
Alabama,0,Total,4874064
Alabama,1,10-Jan,333218
Alabama,1,20-Nov,317056
Alabama,1,21-30,326987
Alabama,1,31-40,289571
Alabama,1,41-50,289989
Alabama,1,51-60,315885
Alabama,1,61-70,268037
Alabama,1,71+,211584
Alabama,1,Total,2352327
Alabama,2,10-Jan,320744
Alabama,2,20-Nov,308797
Alabama,2,21-30,331107
Alabama,2,31-40,309603
Alabama,2,41-50,310412
Alabama,2,51-60,341152
Alabama,2,61-70,306475
Alabama,2,71+,293447
Alabama,2,Total,2521737
Alaska,0,10-Jan,115416
Alaska,0,20-Nov,93272
Alaska,0,21-30,106262
Alaska,0,31-40,100946
Alaska,0,41-50,84494
Alaska,0,51-60,94754
Alaska,0,61-70,76693
Alaska,0,71+,46166
Alaska,0,Total,718003
Alaska,1,10-Jan,59220
Alaska,1,20-Nov,48350
Alaska,1,21-30,55138
Alaska,1,31-40,51148
Alaska,1,41-50,43791
Alaska,1,51-60,49140
Alaska,1,61-70,39314
Alaska,1,71+,22101
Alaska,1,Total,368202
Alaska,2,10-Jan,56196
Alaska,2,20-Nov,44922
Alaska,2,21-30,51124
Alaska,2,31-40,49798
Alaska,2,41-50,40703
Alaska,2,51-60,45614
Alaska,2,61-70,37379
Alaska,2,71+,24065
Alaska,2,Total,349801
Arizona,0,10-Jan,983647
Arizona,0,20-Nov,947477
Arizona,0,21-30,1000282
Arizona,0,31-40,910605
Arizona,0,41-50,849296
Arizona,0,51-60,865355
Arizona,0,61-70,803873
Arizona,0,71+,791484
Arizona,0,Total,7152019
Arizona,1,10-Jan,502027
Arizona,1,20-Nov,483887
Arizona,1,21-30,517034
Arizona,1,31-40,464287
Arizona,1,41-50,423719
Arizona,1,51-60,420095
Arizona,1,61-70,375619
Arizona,1,71+,362040
Arizona,1,Total,3548708
Arizona,2,10-Jan,481620
Arizona,2,20-Nov,463590
Arizona,2,21-30,483248
Arizona,2,31-40,446318
Arizona,2,41-50,425577
Arizona,2,51-60,445260
Arizona,2,61-70,428254
Arizona,2,71+,429444
Arizona,2,Total,3603311
Arkansas,0,10-Jan,424019
Arkansas,0,20-Nov,398296
Arkansas,0,21-30,403743
Arkansas,0,31-40,377657
Arkansas,0,41-50,359006
Arkansas,0,51-60,386081
Arkansas,0,61-70,341247
Arkansas,0,71+,318517
Arkansas,0,Total,3008566
Arkansas,1,10-Jan,217351
Arkansas,1,20-Nov,203833
Arkansas,1,21-30,203095
Arkansas,1,31-40,188047
Arkansas,1,41-50,176957
Arkansas,1,51-60,188359
Arkansas,1,61-70,160543
Arkansas,1,71+,137477
Arkansas,1,Total,1475662
Arkansas,2,10-Jan,206668
Arkansas,2,20-Nov,194463
Arkansas,2,21-30,200648
Arkansas,2,31-40,189610
Arkansas,2,41-50,182049
