,Resident,Work,percent,Number
1,WA,AL,0.001529922,11449
2,WY,AL,0.008635119,4963
3,MA,AL,0.002294115,15823
4,TN,AL,0.088279124,595826
5,PA,AL,0.004046256,51795
6,MD,AL,0.005408065,32494
7,OH,AL,0.005033868,58799
8,KS,AL,0.005588188,16143
9,GA,AL,0.078255705,818253
10,CA,AL,0.001328317,52337
11,AL,AL,0.844453212,4115919
12,CT,AL,0.00083713,2985
13,MO,AL,0.004841637,29571
14,ID,AL,0.002841769,4975
15,ME,AL,0.00848743,11348
16,NM,AL,0.000931963,1942
17,DC,AL,0.007926393,5535
18,AR,AL,0.011892709,35780
19,OK,AL,0.008854725,34740
20,MS,AL,0.148870172,442594
21,FL,AL,0.019853681,421510
22,WV,AL,0.007142932,12892
23,NV,AL,0.000348264,1053
24,NE,AL,0.002331147,4482
25,SC,AL,0.024572231,123917
26,IL,AL,0.005093775,64759
27,SD,AL,0.003016693,2651
28,WI,AL,0.007461664,43356
29,NH,AL,0.001391727,1886
30,VT,AL,0.008000294,5006
31,NY,AL,0.002167363,42301
32,IN,AL,0.008615291,57628
33,NJ,AL,0.000602979,5366
34,TX,AL,0.004976371,142262
35,VA,AL,0.003953028,33212
36,MI,AL,0.007551085,75452
37,IA,AL,0.007533104,23762
38,CO,AL,0.009576075,54196
39,AZ,AL,0.002797392,20007
40,UT,AL,0.008090246,25535
41,NC,AL,0.008328491,85668
42,KY,AL,0.014435664,64263
43,MN,AL,0.001549819,8693
44,LA,AL,0.024953871,115887
45,NM,AK,0.001768426,3685
46,CO,AK,0.011646215,65912
47,VA,AK,0.002292166,19258
48,AL,AK,0.002236942,10903
49,NV,AK,0.009746776,29470
50,OH,AK,0.001678669,19608
51,MD,AK,0.002910076,17485
52,IA,AK,0.00374975,11828
53,NC,AK,0.001516118,15595
54,MT,AK,0.081893262,86704
55,ID,AK,0.058584428,102562
56,OK,AK,0.015596704,61191
57,AZ,AK,0.005001525,35771
58,HI,AK,0.00988289,13591
59,CT,AK,0.001702865,6072
60,AK,AK,0.960135264,689380
61,AR,AK,0.006565254,19752
62,NJ,AK,0.000708157,6302
63,WI,AK,0.005351519,31095
64,OR,AK,0.03156154,132185
65,NE,AK,0.007530717,14479
66,TX,AK,0.005278566,150901
67,CA,AK,0.003058731,120517
68,IN,AK,0.002732082,18275
69,VT,AK,0.012850652,8041
70,LA,AK,0.013186123,61237
71,ME,AK,0.003720917,4975
72,WA,AK,0.050662888,379130
73,KS,AK,0.003239093,9357
74,MS,AK,0.00497743,14798
75,TN,AK,0.003912826,26409
76,NY,AK,0.000517491,10100
77,ND,AK,0.01174522,8843
78,MA,AK,0.000822506,5673
79,KY,AK,0.003886845,17303
80,GA,AK,0.004257496,44517
81,SC,AK,0.002669459,13462
82,PA,AK,0.002561731,32792
83,MO,AK,0.001540856,9411
84,UT,AK,0.019219522,60662
85,FL,AK,0.003192764,67785
86,SD,AK,0.00635201,5582
87,NH,AK,0.006019255,8157
88,MI,AK,0.002947197,29449
89,WY,AK,0.056842501,32670
90,MN,AK,0.012405864,69585
91,IL,AK,0.001740217,22124
92,SD,AZ,0.007541162,6627
93,MO,AZ,0.009210915,56257
94,OH,AZ,0.004606838,53811
95,NV,AZ,0.016999806,51400
96,MS,AZ,0.005860371,17423
97,DE,AZ,0.01432212,13803
98,AL,AZ,0.006967902,33962
99,TX,AZ,0.004763446,136175
100,LA,AZ,0.007141613,33166
101,CA,AZ,0.008512275,335392
102,FL,AZ,0.003843233,81595
103,GA,AZ,0.006499719,67962
104,PA,AZ,0.004865898,62287
105,HI,AZ,0.009734549,13387
106,IA,AZ,0.00847593,26736
107,WI,AZ,0.008391533,48759
108,RI,AZ,0.00974754,10263
109,TN,AZ,0.006144303,41470
110,AR,AZ,0.009614547,28926
111,OK,AZ,0.014559574,57122
112,KS,AZ,0.006034744,17433
113,ID,AZ,0.031632461,55378
114,IN,AZ,0.002712199,18142
115,UT,AZ,0.032072668,101230
116,MI,AZ,0.006728944,67237
117,ND,AZ,0.011723969,8827
118,AZ,AZ,0.066358465,474597
119,CT,AZ,0.001368013,4878
120,MT,AZ,0.033792872,35778
121,OR,AZ,0.015456404,64734
122,CO,AZ,0.023742469,134371
123,MD,AZ,0.002550082,15322
124,IL,AZ,0.005709899,72592
125,MN,AZ,0.010026669,56240
126,NH,AZ,0.005378736,7289
127,SC,AZ,0.007164232,36129
128,ME,AZ,0.012925606,17282
129,VT,AZ,0.013745611,8601
130,KY,AZ,0.004345323,19344
131,NM,AZ,0.085544306,178255
132,NJ,AZ,0.003017816,26856
133,NC,AZ,0.006168885,63454
134,AK,AZ,0.006866267,4930
135,VA,AZ,0.006761402,56807
136,WA,AZ,0.007679945,57472
137,NY,AZ,0.00265693,51856
138,NE,AZ,0.01021346,19637
139,WY,AZ,0.017894861,10285
