,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Name,ICAO code,Source state,Destination state
18621,CA,751,ATL,3682,IAH,3550,Y,0.0,CRJ,,,GA,TX
18622,UA,5209,ATL,3682,IAH,3550,Y,0.0,CRJ,,,GA,TX
18623,UA,5209,ATL,3682,IAH,3550,Y,0.0,E70,Embraer 170,E170,GA,TX
18624,AF,137,ATL,3682,IAH,3550,Y,0.0,319,Airbus A319,A319,GA,TX
18625,DL,2009,ATL,3682,IAH,3550,,0.0,319,Airbus A319,A319,GA,TX
18626,VA,5360,ATL,3682,IAH,3550,Y,0.0,319,Airbus A319,A319,GA,TX
18627,AF,137,ATL,3682,IAH,3550,Y,0.0,320,Airbus A320,A320,GA,TX
18628,AZ,596,ATL,3682,IAH,3550,Y,0.0,320,Airbus A320,A320,GA,TX
18629,DL,2009,ATL,3682,IAH,3550,,0.0,320,Airbus A320,A320,GA,TX
18630,KL,3090,ATL,3682,IAH,3550,Y,0.0,320,Airbus A320,A320,GA,TX
18631,VA,5360,ATL,3682,IAH,3550,Y,0.0,320,Airbus A320,A320,GA,TX
18632,VS,5347,ATL,3682,IAH,3550,Y,0.0,320,Airbus A320,A320,GA,TX
18633,UA,5209,ATL,3682,IAH,3550,Y,0.0,CR7,Canadair Regional Jet 700,CRJ7,GA,TX
18634,UA,5209,ATL,3682,IAH,3550,Y,0.0,ERJ,,,GA,TX
18635,AF,137,ATL,3682,IAH,3550,Y,0.0,717,Boeing 717,B712,GA,TX
18636,DL,2009,ATL,3682,IAH,3550,,0.0,717,Boeing 717,B712,GA,TX
18637,KL,3090,ATL,3682,IAH,3550,Y,0.0,717,Boeing 717,B712,GA,TX
18638,VA,5360,ATL,3682,IAH,3550,Y,0.0,717,Boeing 717,B712,GA,TX
18639,VS,5347,ATL,3682,IAH,3550,Y,0.0,717,Boeing 717,B712,GA,TX
18640,AF,137,ATL,3682,IAH,3550,Y,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18641,AZ,596,ATL,3682,IAH,3550,Y,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18642,DL,2009,ATL,3682,IAH,3550,,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18643,KL,3090,ATL,3682,IAH,3550,Y,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18644,VA,5360,ATL,3682,IAH,3550,Y,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18645,VS,5347,ATL,3682,IAH,3550,Y,0.0,M88,McDonnell Douglas MD-88,MD88,GA,TX
18646,QR,4091,ATL,3682,IAH,3550,,0.0,,,,GA,TX
18647,UA,5209,GSP,4034,IAH,3550,Y,0.0,ERJ,,,SC,TX
18648,UA,5209,LEX,4017,IAH,3550,Y,0.0,ERJ,,,KY,TX
18649,DL,2009,MEM,3473,IAH,3550,Y,0.0,CRJ,,,TN,TX
18650,UA,5209,MEM,3473,IAH,3550,Y,0.0,CRJ,,,TN,TX
18651,UA,5209,MEM,3473,IAH,3550,Y,0.0,ER4,Embraer RJ145,E145,TN,TX
18652,UA,5209,MEM,3473,IAH,3550,Y,0.0,ERJ,,,TN,TX
18653,AC,330,MSY,3861,IAH,3550,Y,0.0,319,Airbus A319,A319,LA,TX
