WEEK,STATE,FluWeek,ILITOTAL
40,AL,1,640
40,AK,1,79
40,AZ,1,307
40,AR,1,54
40,CA,1,698
40,CO,1,843
40,CT,1,73
40,DE,1,0
40,DC,1,314
40,FL,1,0
40,GA,1,1850
40,HI,1,34
40,ID,1,8
40,IL,1,394
40,IN,1,65
40,IA,1,32
40,KS,1,119
40,KY,1,114
40,LA,1,1256
40,ME,1,135
40,MD,1,58
40,MA,1,505
40,MI,1,281
40,MN,1,97
40,MS,1,339
40,MO,1,25
40,MT,1,49
40,NE,1,89
40,NV,1,65
40,NH,1,19
40,NJ,1,885
40,NM,1,171
40,NY,1,623
40,NC,1,974
40,ND,1,32
40,OH,1,127
40,OK,1,113
40,OR,1,260
40,PA,1,536
40,RI,1,15
40,SC,1,217
40,SD,1,147
40,TN,1,39
40,TX,1,730
40,UT,1,258
40,VT,1,53
40,VA,1,1373
40,WA,1,24
40,WV,1,107
40,WI,1,268
40,WY,1,63
41,AL,2,635
41,AK,2,109
41,AZ,2,288
41,AR,2,52
41,CA,2,598
41,CO,2,978
41,CT,2,70
41,DE,2,2
41,DC,2,305
41,FL,2,0
41,GA,2,1830
41,HI,2,29
41,ID,2,5
41,IL,2,493
41,IN,2,58
41,IA,2,35
41,KS,2,124
41,KY,2,142
41,LA,2,1312
41,ME,2,150
41,MD,2,56
41,MA,2,583
41,MI,2,259
41,MN,2,133
41,MS,2,346
41,MO,2,23
41,MT,2,43
41,NE,2,196
41,NV,2,107
41,NH,2,6
41,NJ,2,897
41,NM,2,173
41,NY,2,661
41,NC,2,1139
41,ND,2,49
41,OH,2,117
41,OK,2,121
41,OR,2,280
41,PA,2,639
41,RI,2,18
41,SC,2,224
41,SD,2,126
41,TN,2,53
41,TX,2,589
41,UT,2,149
41,VT,2,60
41,VA,2,1490
41,WA,2,37
41,WV,2,108
41,WI,2,319
41,WY,2,64
42,AL,3,658
42,AK,3,100
42,AZ,3,332
42,AR,3,87
42,CA,3,691
42,CO,3,1042
42,CT,3,66
42,DE,3,3
42,DC,3,293
42,FL,3,0
42,GA,3,2067
42,HI,3,35
42,ID,3,2
42,IL,3,518
42,IN,3,47
42,IA,3,33
42,KS,3,136
42,KY,3,181
42,LA,3,1408
42,ME,3,137
42,MD,3,86
42,MA,3,605
42,MI,3,293
42,MN,3,107
42,MS,3,384
42,MO,3,33
42,MT,3,55
42,NE,3,47
42,NV,3,89
42,NH,3,21
42,NJ,3,889
42,NM,3,204
42,NY,3,706
42,NC,3,1261
42,ND,3,29
42,OH,3,115
42,OK,3,132
42,OR,3,298
42,PA,3,610
42,RI,3,22
42,SC,3,234
42,SD,3,142
42,TN,3,24
42,TX,3,607
42,UT,3,309
42,VT,3,59
42,VA,3,1715
42,WA,3,21
42,WV,3,130
42,WI,3,308
42,WY,3,42
43,AL,4,857
43,AK,4,38
43,AZ,4,257
43,AR,4,85
43,CA,4,753
43,CO,4,944
43,CT,4,81
43,DE,4,4
43,DC,4,280
43,FL,4,0
43,GA,4,2338
43,HI,4,38
43,ID,4,7
43,IL,4,579
43,IN,4,65
43,IA,4,45
43,KS,4,176
43,KY,4,227
43,LA,4,1590
43,ME,4,168
43,MD,4,69
43,MA,4,550
43,MI,4,339
43,MN,4,116
43,MS,4,405
43,MO,4,43
43,MT,4,52
43,NE,4,177
43,NV,4,94
43,NH,4,23
43,NJ,4,982
43,NM,4,233
43,NY,4,700
43,NC,4,1425
43,ND,4,29
43,OH,4,166
43,OK,4,179
43,OR,4,306
43,PA,4,652
43,RI,4,31
43,SC,4,298
43,SD,4,141
43,TN,4,91
43,TX,4,761
