Source,Target,Weight
IL,TX,6726
GA,TX,14929
CA,TX,24668
OH,TX,3506
MN,TX,2797
LA,TX,7773
KS,TX,1235
WI,TX,1056
UT,TX,1582
OK,TX,5131
AZ,TX,8074
MO,TX,4576
FL,TX,16108
MA,TX,2408
DC,TX,4575
NC,TX,6691
TX,TX,42294
AR,TX,2391
NM,TX,2314
CO,TX,8663
OR,TX,1407
SC,TX,1171
TN,TX,3609
IA,TX,988
MS,TX,1027
AL,TX,2108
NE,TX,918
MI,TX,2993
NY,TX,3756
IN,TX,1316
VA,TX,1476
PA,TX,5683
NJ,TX,3745
MD,TX,3251
KY,TX,1444
WA,TX,3649
NV,TX,8490
HI,TX,1779
IL,FL,14104
GA,FL,35824
CA,FL,12828
OH,FL,7567
MN,FL,3757
LA,FL,3579
OK,FL,718
TX,FL,16841
MO,FL,4050
FL,FL,9508
MA,FL,3082
DC,FL,7063
NC,FL,14584
CO,FL,5437
AZ,FL,2843
NY,FL,17604
MI,FL,6790
IN,FL,3189
VA,FL,2091
PA,FL,13028
AL,FL,895
TN,FL,5309
NJ,FL,8357
MD,FL,4292
SC,FL,1425
KY,FL,1830
WA,FL,1372
NV,FL,2074
CT,FL,2284
IL,GA,7441
CA,GA,18947
OH,GA,9618
MN,GA,2988
LA,GA,5684
KS,GA,556
WI,GA,3798
UT,GA,4042
OK,GA,2010
AZ,GA,4089
TX,GA,14357
MO,GA,7276
FL,GA,37124
MA,GA,4375
NY,GA,15925
DC,GA,6103
NC,GA,12904
GA,GA,7990
AR,GA,1627
NM,GA,2155
CO,GA,4047
OR,GA,1890
TN,GA,9192
SC,GA,7853
PA,GA,7979
IA,GA,1252
SD,GA,68
MS,GA,2481
AL,GA,4073
NE,GA,892
MI,GA,9668
VT,GA,180
IN,GA,3870
VA,GA,5689
RI,GA,516
NJ,GA,1738
MD,GA,4575
NH,GA,340
KY,GA,2060
WA,GA,4891
ND,GA,90
NV,GA,3120
WV,GA,342
CT,GA,2158
HI,GA,880
IL,NJ,2525
GA,NJ,1270
CA,NJ,3227
OH,NJ,1450
MN,NJ,330
LA,NJ,1605
WI,NJ,100
UT,NJ,170
OK,NJ,100
TX,NJ,3474
MO,NJ,491
FL,NJ,8357
MA,NJ,1630
NY,NJ,1067
DC,NJ,568
NC,NJ,2053
AR,NJ,50
CO,NJ,1142
OR,NJ,534
AZ,NJ,1187
SC,NJ,360
TN,NJ,449
IA,NJ,50
NE,NJ,50
MI,NJ,947
VT,NJ,90
IN,NJ,330
VA,NJ,266
PA,NJ,312
RI,NJ,176
MD,NJ,176
NH,NJ,176
KY,NJ,174
WA,NJ,1108
NV,NJ,1068
HI,NJ,375
IL,MI,3055
GA,MI,6633
CA,MI,2515
OH,MI,800
MN,MI,2559
LA,MI,1614
WI,MI,1761
UT,MI,999
OK,MI,226
TX,MI,3337
MO,MI,1586
FL,MI,6504
MA,MI,1269
NY,MI,2866
DC,MI,1884
NC,MI,2221
AR,MI,136
CO,MI,1508
OR,MI,378
AZ,MI,1517
TN,MI,1154
SC,MI,534
PA,MI,2457
IA,MI,100
AL,MI,100
NE,MI,156
VT,MI,50
IN,MI,542
VA,MI,150
RI,MI,156
MI,MI,2232
NJ,MI,823
MD,MI,1577
NH,MI,50
KY,MI,258
ME,MI,68
WA,MI,709
NV,MI,1627
WV,MI,50
CT,MI,328
DE,MI,170
IL,MO,3655
GA,MO,8269
CA,MO,2614
OH,MO,1014
MN,MO,2237
LA,MO,870
WI,MO,876
UT,MO,326
OK,MO,578
TX,MO,5876
FL,MO,3696
MA,MO,286
DC,MO,1154
NC,MO,767
CO,MO,2050
AZ,MO,1695
NE,MO,435
NY,MO,821
MI,MO,1226
MO,MO,912
PA,MO,1336
NJ,MO,491
TN,MO,783
MD,MO,1065
AR,MO,161
WA,MO,997
NV,MO,1174
KY,MO,6
IA,MO,9
IL,NM,726
GA,NM,1645
CA,NM,1498
MN,NM,170
UT,NM,158
TX,NM,2342
CO,NM,913
OR,NM,298
AZ,NM,1053
NY,NM,170
MO,NM,292
MD,NM,286
WA,NM,441
NV,NM,441
NM,NM,18
IL,TN,1958
GA,TN,10367
CA,TN,1590
OH,TN,734
MN,TN,470
LA,TN,574
UT,TN,260
TX,TN,3395
MO,TN,783
FL,TN,4794
MA,TN,292
DC,TN,878
NC,TN,1913
CO,TN,1638
AZ,TN,292
SC,TN,435
NY,TN,847
MI,TN,1284
PA,TN,1231
NJ,TN,592
MD,TN,1019
NV,TN,521
TN,TN,36
IL,NY,7887
GA,NY,16299
MN,NY,1933
FL,NY,17818
MA,NY,2388
DC,NY,5186
AZ,NY,1063
NY,NY,2106
NC,NY,5569
MI,NY,2546
NJ,NY,788
MD,NY,1781
OH,NY,2193
NV,NY,3047
PA,NY,4562
IL,MD,1734
GA,MD,3812
CA,MD,2059
OH,MD,1795
MN,MD,826
LA,MD,286
WI,MD,733
UT,MD,456
TX,MD,2798
MO,MD,1019
FL,MD,4831
MA,MD,682
NY,MD,1747
NC,MD,3454
NM,MD,143
CO,MD,1069
OK,MD,286
AZ,MD,1167
SC,MD,903
MI,MD,1405
IN,MD,733
VA,MD,286
PA,MD,1350
RI,MD,1111
AL,MD,286
TN,MD,1397
NJ,MD,176
AR,MD,584
NH,MD,1151
KY,MD,435
WA,MD,286
NV,MD,834
CT,MD,968
ME,MD,143
IL,IA,1740
GA,IA,806
MN,IA,190
TX,IA,1038
CO,IA,968
MI,IA,100
NV,IA,636
FL,IA,1030
IL,OH,3885
GA,OH,8849
CA,OH,2491
MN,OH,688
LA,OH,100
OH,OH,806
WI,OH,218
TX,OH,3232
MO,OH,644
FL,OH,7526
MA,OH,662
NY,OH,2429
DC,OH,2018
CO,OH,2151
AZ,OH,1310
SC,OH,272
NC,OH,2033
MI,OH,654
IN,OH,260
VA,OH,150
NJ,OH,1639
TN,OH,585
MD,OH,1497
KY,OH,100
NV,OH,1148
PA,OH,1915
WV,OH,19
UT,OH,548
AR,OH,50
CT,OH,50
IL,CO,3004
GA,CO,4219
CA,CO,11672
OH,CO,2194
MN,CO,1624
LA,CO,1260
KS,CO,587
WI,CO,986
UT,CO,1847
OK,CO,1241
AZ,CO,4215
TX,CO,8523
MO,CO,3043
FL,CO,4856
MA,CO,861
DC,CO,2558
NC,CO,1011
AR,CO,306
NM,CO,931
ID,CO,1040
CO,CO,2152
OR,CO,2161
NV,CO,3581
TN,CO,1071
IA,CO,968
SD,CO,571
AL,CO,100
NE,CO,1093
NY,CO,1496
MI,CO,2141
IN,CO,1084
PA,CO,2844
NJ,CO,1142
MD,CO,834
MT,CO,1153
VA,CO,156
KY,CO,342
WA,CO,3808
ND,CO,868
WY,CO,520
CT,CO,143
AK,CO,189
HI,CO,1180
DE,CO,170
IL,SD,348
GA,SD,68
MN,SD,503
TX,SD,400
CO,SD,571
NV,SD,344
FL,SD,340
IL,KS,834
GA,KS,696
CA,KS,68
MN,KS,50
TX,KS,1064
CO,KS,511
NV,KS,315
PA,KS,149
IL,IN,1558
GA,IN,3840
CA,IN,893
MN,IN,664
UT,IN,326
TX,IN,1322
FL,IN,3338
MA,IN,124
DC,IN,590
NC,IN,362
CO,IN,1158
AZ,IN,1093
NY,IN,382
MI,IN,648
MO,IN,733
TN,IN,100
NJ,IN,330
MD,IN,733
OH,IN,260
NV,IN,607
PA,IN,508
IL,AR,880
GA,AR,1969
TX,AR,2672
CO,AR,306
AZ,AR,143
NC,AR,376
MI,AR,136
NY,AR,272
MD,AR,292
DC,AR,248
NV,AR,315
FL,AR,342
NM,MO,435
OR,MO,149
IN,MO,447
KS,MO,9
IL,PA,5225
GA,PA,8822
MA,PA,1936
DC,PA,1649
CO,PA,2549
NC,PA,7517
MI,PA,2507
FL,PA,12199
PA,PA,3726
IN,TN,100
AR,TN,18
IL,IL,2144
GA,IL,9764
MN,IL,3682
TX,IL,6686
CO,IL,2847
MI,IL,3187
NV,IL,4223
FL,IL,13906
IL,WI,1326
GA,WI,3215
OH,WI,218
MN,WI,2010
UT,WI,68
TX,WI,988
CO,WI,1135
MI,WI,1605
NY,WI,335
NJ,WI,100
DC,WI,358
IL,MN,3663
GA,MN,3540
CA,MN,6755
OH,MN,604
LA,MN,394
KS,MN,50
WI,MN,1985
UT,MN,810
OK,MN,100
AZ,MN,2653
TX,MN,2741
MO,MN,1945
FL,MN,4225
MA,MN,1314
NY,MN,1834
DC,MN,1724
NC,MN,1864
AR,MN,50
NM,MN,170
ID,MN,359
CO,MN,2440
OR,MN,586
TN,MN,402
IA,MN,190
SD,MN,503
NE,MN,548
MI,MN,2783
IN,MN,598
VA,MN,136
PA,MN,1176
AL,MN,68
NJ,MN,330
MD,MN,826
NH,MN,189
MT,MN,1056
KY,MN,274
WA,MN,2362
ND,MN,1096
NV,MN,1376
CT,MN,156
AK,MN,484
MN,MN,880
IL,LA,2787
GA,LA,5381
CA,LA,2970
OH,LA,100
MN,LA,732
WI,LA,584
UT,LA,652
TX,LA,7871
MO,LA,721
FL,LA,2995
MA,LA,196
DC,LA,1872
CO,LA,1248
AZ,LA,332
NY,LA,1862
NC,LA,966
